cift,pasife_alinacak_listing_id,sira,korunan_listing_id,korunan_edisyon,islem,pin,edisyon
Capricorn + Libra,4552579828,2,4553832904,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Libra,4555426266,3,4553832904,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Libra,4556474668,4,4553832904,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Pisces,4552579972,1,4553833422,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Pisces,4555426522,2,4553833422,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Pisces,4556474844,3,4553833422,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Pisces,4555130961,4,4553833422,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Sagittarius,4556475034,1,4552567953,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Sagittarius,4553823723,2,4552567953,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Sagittarius,4555426808,3,4552567953,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Sagittarius,4555131687,4,4552567953,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Scorpio,4552568109,1,4553834534,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Scorpio,4555416129,2,4553834534,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Scorpio,4556460319,3,4553834534,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Scorpio,4555144830,4,4553834534,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Taurus,4555427302,1,4553824803,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Taurus,4555132467,2,4553824803,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Taurus,4552568249,3,4553824803,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Taurus,4556475380,4,4553824803,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Virgo,4552568379,1,4553825327,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Virgo,4555416607,2,4553825327,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Virgo,4556460709,3,4553825327,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Virgo,4555132755,4,4553825327,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Gemini,4552568521,1,4553836190,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
